plant,step,kind,component,t_end_exact,optimized_lo,optimized_hi,flowstar_lo,flowstar_hi,optimized_over_flowstar_width,data_origin,duration
brusselator,629,tube,x,3625938131988533815/288230376151711744,0.4614156747887867,0.46594690859499033,0.4614095586538537,0.4659492159044391,0.9981444756912644,REUSED_MATCHED_REFERENCE,0.02
brusselator,629,tube,y,3625938131988533815/288230376151711744,4.481003776516267,4.4986170821089795,4.480985057015849,4.4986058362174655,0.9995758638810586,REUSED_MATCHED_REFERENCE,0.02
brusselator,630,endpoint,x,1815851369755784025/144115188075855872,0.46586036450644464,0.4682266869213272,0.4658541325394402,0.46822906161722927,0.9963760337152713,REUSED_MATCHED_REFERENCE,0.02
brusselator,630,endpoint,y,1815851369755784025/144115188075855872,4.49807088583192,4.506915491941744,4.4980136698096125,4.506942865333402,0.9905266478104926,REUSED_MATCHED_REFERENCE,0.02
brusselator,630,tube,x,1815851369755784025/144115188075855872,0.46360403170725994,0.4682266869213268,0.4635977997402552,0.46822906161722927,0.9981416160139882,REUSED_MATCHED_REFERENCE,0.02
brusselator,630,tube,y,1815851369755784025/144115188075855872,4.489561765302919,4.506999175860296,4.489543248658802,4.506987849873764,0.9995878004033274,REUSED_MATCHED_REFERENCE,0.02
brusselator,631,endpoint,x,3637467347034602285/288230376151711744,0.4681384536557747,0.47055315145325394,0.4681321015764107,0.4705555976308197,0.9963696012981821,REUSED_MATCHED_REFERENCE,0.02
brusselator,631,endpoint,y,3637467347034602285/288230376151711744,4.506450356400634,4.515203839115406,4.506393373281721,4.5152311034183015,0.990467300935128,REUSED_MATCHED_REFERENCE,0.02
brusselator,631,tube,x,3637467347034602285/288230376151711744,0.46583617944995714,0.47055315145325366,0.4658298273705927,0.4705555976308197,0.9981382385418612,REUSED_MATCHED_REFERENCE,0.02
brusselator,631,tube,y,3637467347034602285/288230376151711744,4.498031614819899,4.515288669163962,4.49801330624867,4.515277258919173,0.9996004202182714,REUSED_MATCHED_REFERENCE,0.02
brusselator,632,endpoint,x,455403994319704565/36028797018963968,0.4704631772636936,0.47292781142968127,0.47045670051469746,0.47293033342480445,0.9963621343803536,REUSED_MATCHED_REFERENCE,0.02
brusselator,632,endpoint,y,455403994319704565/36028797018963968,4.514737052878916,4.523397096236732,4.514680317449523,4.523424237755292,0.9904073979381905,REUSED_MATCHED_REFERENCE,0.02
brusselator,632,tube,x,455403994319704565/36028797018963968,0.46811348824970156,0.47292781142968093,0.4681070115007051,0.47293033342480445,0.9981343264535156,REUSED_MATCHED_REFERENCE,0.02
brusselator,632,tube,y,455403994319704565/36028797018963968,4.50641105753971,4.5234831119703545,4.506392962472773,4.5234716131264605,0.9996137737590517,REUSED_MATCHED_REFERENCE,0.02
brusselator,633,endpoint,x,3648996562080670755/288230376151711744,0.47283604193726125,0.4753522494239018,0.4728294356922142,0.4753548518664141,0.9963535960316549,REUSED_MATCHED_REFERENCE,0.02
brusselator,633,endpoint,y,3648996562080670755/288230376151711744,4.522928514343642,4.531492707808286,4.522872042334542,4.5315197118759425,0.9903469858142594,REUSED_MATCHED_REFERENCE,0.02
brusselator,633,tube,x,3648996562080670755/288230376151711744,0.47043739353478,0.4753522494239015,0.4704307872897325,0.4753548518664141,0.9981298605213849,REUSED_MATCHED_REFERENCE,0.02
brusselator,633,tube,y,3648996562080670755/288230376151711744,4.514697731971124,4.531579950702138,4.514679856040786,4.5315683586910325,0.9996279173256379,REUSED_MATCHED_REFERENCE,0.02
brusselator,634,endpoint,x,1827380584801852495/144115188075855872,0.4752586276399683,0.4778281252203232,0.4752518869033015,0.47783081293737123,0.9963440387237695,REUSED_MATCHED_REFERENCE,0.02
brusselator,634,endpoint,y,1827380584801852495/144115188075855872,4.531022174719299,4.539488009642763,4.530965982742209,4.5395148606813445,0.9902860917814948,REUSED_MATCHED_REFERENCE,0.02
brusselator,634,tube,x,1827380584801852495/144115188075855872,0.4728093999856842,0.4778281252203229,0.47280265924901704,0.47783081293737123,0.9981248676353459,REUSED_MATCHED_REFERENCE,0.02
brusselator,634,tube,y,1827380584801852495/144115188075855872,4.522889176909243,4.539576523221741,4.522871525832979,4.539564833359495,0.9996428979692576,REUSED_MATCHED_REFERENCE,0.02
brusselator,635,endpoint,x,3660525777126739225/288230376151711744,0.477732591668562,0.4803571806414838,0.47772571130465263,0.480359958633212,0.996333542589989,REUSED_MATCHED_REFERENCE,0.02
brusselator,635,endpoint,y,3660525777126739225/288230376151711744,4.539015359409457,4.547380220329333,4.538959465368216,4.54740690143207,0.990224827586322,REUSED_MATCHED_REFERENCE,0.02
brusselator,635,tube,x,3660525777126739225/288230376151711744,0.47523108521434626,0.48035718064148347,0.47522420485043654,0.480359958633212,0.9981193888868549,REUSED_MATCHED_REFERENCE,0.02
brusselator,635,tube,y,3660525777126739225/288230376151711744,4.530982828462502,4.547470050284797,4.530965408374638,4.547458257434159,0.9996588074501127,REUSED_MATCHED_REFERENCE,0.02
brusselator,636,endpoint,x,916572596162443365/72057594037927936,0.4802596731008462,0.48294124454869125,0.4802526476047463,0.48294411822623623,0.996322020546733,REUSED_MATCHED_REFERENCE,0.02
brusselator,636,endpoint,y,916572596162443365/72057594037927936,4.546905276658971,4.555166437142239,4.546849699763049,4.555192930150587,0.9901632940170951,REUSED_MATCHED_REFERENCE,0.02
brusselator,636,tube,x,916572596162443365/72057594037927936,0.47770410388963125,0.4829412445486909,0.477697078393531,0.48294411822623623,0.9981133793603252,REUSED_MATCHED_REFERENCE,0.02
brusselator,636,tube,y,916572596162443365/72057594037927936,4.538976011796248,4.555257631480901,4.538958829198195,4.555245730191382,0.9996757327537267,REUSED_MATCHED_REFERENCE,0.02
brusselator,637,endpoint,x,3672054992172807695/288230376151711744,0.4828416977856745,0.4855822379992493,0.48283452137837785,0.48558521298974966,0.9963095107590366,REUSED_MATCHED_REFERENCE,0.02
brusselator,637,endpoint,y,3672054992172807695/288230376151711744,4.554689011696992,4.562843628273956,4.554633772366024,4.562869913675811,0.9901015864401761,REUSED_MATCHED_REFERENCE,0.02
brusselator,637,tube,x,3672054992172807695/288230376151711744,0.4802301923779277,0.485582237999249,0.4802230159706307,0.48558521298974966,0.9981068584832957,REUSED_MATCHED_REFERENCE,0.02
brusselator,637,tube,y,3672054992172807695/288230376151711744,4.546865935719002,4.562936237470821,4.546848997307187,4.5629242219535255,0.9996937588974404,REUSED_MATCHED_REFERENCE,0.02
brusselator,638,endpoint,x,1838909799847920965/144115188075855872,0.4854805837292071,0.4882821797657083,0.48547325018559817,0.4882852622918006,0.9962958659821457,REUSED_MATCHED_REFERENCE,0.02
brusselator,638,endpoint,y,1838909799847920965/144115188075855872,4.5623635197501216,4.570408625229494,4.562308639723613,4.570434682133251,0.9900398095179208,REUSED_MATCHED_REFERENCE,0.02
brusselator,638,tube,x,1838909799847920965/144115188075855872,0.48281117375026295,0.4882821797657079,0.48280384020665373,0.4882852622918006,0.9980997504771447,REUSED_MATCHED_REFERENCE,0.02
brusselator,638,tube,y,1838909799847920965/144115188075855872,4.554649686169034,4.570502702391754,4.5546329988598675,4.5704905665781705,0.9997129764372477,REUSED_MATCHED_REFERENCE,0.02
brusselator,639,endpoint,x,3683584207218876165/288230376151711744,0.4881783463364184,0.49104319282364123,0.4881708492440617,0.49104638935662454,0.9962811767802198,REUSED_MATCHED_REFERENCE,0.02
brusselator,639,endpoint,y,3683584207218876165/288230376151711744,4.569925618259674,4.577858114966574,4.569871120844132,4.577883920843059,0.9899781234977234,REUSED_MATCHED_REFERENCE,0.02
brusselator,639,tube,x,3683584207218876165/288230376151711744,0.48544896261200193,0.4910431928236409,0.4854414655196449,0.49104638935662454,0.9980921015785941,REUSED_MATCHED_REFERENCE,0.02
brusselator,639,tube,y,3683584207218876165/288230376151711744,4.56232421894195,4.577953716012094,4.562307790027905,4.577941453387082,0.9997335052612326,REUSED_MATCHED_REFERENCE,0.02
brusselator,640,endpoint,x,28823037615171175/2251799813685248,0.4909371049708505,0.49386751041644394,0.4909294375989265,0.4938708278130836,0.9962654500885895,REUSED_MATCHED_REFERENCE,0.02
brusselator,640,endpoint,y,28823037615171175/2251799813685248,4.577371979035168,4.58518863096092,4.5773178891735435,4.585214161566356,0.9899167020716246,REUSED_MATCHED_REFERENCE,0.02
brusselator,640,tube,x,28823037615171175/2251799813685248,0.4881455712148697,0.4938675104164436,0.4881379038429453,0.4938708278130836,0.998083915185063,REUSED_MATCHED_REFERENCE,0.02
brusselator,640,tube,y,28823037615171175/2251799813685248,4.569886352402266,4.585285814808074,4.56987018951867,4.585273418435481,0.9997554726334986,REUSED_MATCHED_REFERENCE,0.02
brusselator,641,endpoint,x,3695113422264944635/288230376151711744,0.4937590890870818,0.4967574835222144,0.4937512443091676,0.496760929116958,0.9962486528062269,REUSED_MATCHED_REFERENCE,0.02
brusselator,641,endpoint,y,3695113422264944635/288230376151711744,4.584699119134177,4.592396544308281,4.584645463485048,4.592421773587615,0.9898557378213155,REUSED_MATCHED_REFERENCE,0.02
brusselator,641,tube,x,3695113422264944635/288230376151711744,0.4909031151021479,0.4967574835222141,0.4908952703242333,0.496760929116958,0.9980751739817332,REUSED_MATCHED_REFERENCE,0.02
brusselator,641,tube,y,3695113422264944635/288230376151711744,4.577332758962668,4.5924953730847,4.577316870057939,4.5924828356196326,0.999779015740992,REUSED_MATCHED_REFERENCE,0.02
brusselator,642,endpoint,x,1850439014893989435/144115188075855872,0.49664664534902025,0.4997155883964092,0.4966386155912097,0.499719170057049,0.9962307374925155,REUSED_MATCHED_REFERENCE,0.02
brusselator,642,endpoint,y,1850439014893989435/144115188075855872,4.5919033913271905,4.599478053897412,4.591850198317834,4.5995029539254855,0.9897954356008073,REUSED_MATCHED_REFERENCE,0.02
brusselator,642,tube,x,1850439014893989435/144115188075855872,0.4937238196961262,0.49971558839640895,0.49371578993831533,0.499719170057049,0.9980658531991454,REUSED_MATCHED_REFERENCE,0.02
brusselator,642,tube,y,1850439014893989435/144115188075855872,4.584659956202562,4.599578593167108,4.5846443494729865,4.599565906915398,0.9998042779463849,REUSED_MATCHED_REFERENCE,0.02
brusselator,643,endpoint,x,3706642637311013105/288230376151711744,0.4996022456847118,0.5027444343357176,0.4995940229982454,0.5027481604051705,0.9962117199165067,REUSED_MATCHED_REFERENCE,0.02
brusselator,643,endpoint,y,3706642637311013105/288230376151711744,4.598980975215379,4.606429174467787,4.598928275451514,4.606453715022238,0.9897361054341517,REUSED_MATCHED_REFERENCE,0.02
brusselator,643,tube,x,3706642637311013105/288230376151711744,0.4966100277740085,0.5027444343357171,0.49660180508754126,0.5027481604051705,0.9980559607599873,REUSED_MATCHED_REFERENCE,0.02
brusselator,643,tube,y,3706642637311013105/288230376151711744,4.591864298710684,4.606531493464644,4.591848982867705,4.60651865009821,0.99983145653501,REUSED_MATCHED_REFERENCE,0.02
brusselator,644,endpoint,x,928101811208511835/72057594037927936,0.5026284950379396,0.5058467730093849,0.5026200710377239,0.5058506523802596,0.9961915922287764,REUSED_MATCHED_REFERENCE,0.02
brusselator,644,endpoint,y,928101811208511835/72057594037927936,4.6059278651409095,4.61324572628169,4.605875691463478,4.613269874770097,0.9896780803675052,REUSED_MATCHED_REFERENCE,0.02
brusselator,644,tube,x,928101811208511835/72057594037927936,0.4995642065875331,0.5058467730093841,0.49955578258731687,0.5058506523802596,0.9980454923618034,REUSED_MATCHED_REFERENCE,0.02
brusselator,644,tube,y,928101811208511835/72057594037927936,4.598941966759778,4.6133498981749925,4.598926950942702,4.613336888803041,0.999860759626852,REUSED_MATCHED_REFERENCE,0.02
brusselator,645,endpoint,x,3718171852357081575/288230376151711744,0.5057281402856072,0.5090255080059647,0.5057195061034524,0.5090295501818902,0.9961703355665539,REUSED_MATCHED_REFERENCE,0.02
brusselator,645,endpoint,y,3718171852357081575/288230376151711744,4.612739858804153,4.619923322352975,4.61268824646461,4.619947043619584,0.9896217507469824,REUSED_MATCHED_REFERENCE,0.02
brusselator,645,tube,x,3718171852357081575/288230376151711744,0.5025889560897103,0.5090255080059642,0.5025803219075548,0.5090295501818902,0.9980344379912867,REUSED_MATCHED_REFERENCE,0.02
brusselator,645,tube,y,3718171852357081575/288230376151711744,4.605888955773151,4.620029424531838,4.605874249562171,4.620016239669883,0.9998924232719053,REUSED_MATCHED_REFERENCE,0.02
brusselator,646,endpoint,x,1861968229940057905/144115188075855872,0.508904079864474,0.5122837051819625,0.5088952261134407,0.5122879203294939,0.9961479291287959,REUSED_MATCHED_REFERENCE,0.02
brusselator,646,endpoint,y,1861968229940057905/144115188075855872,4.619412544684618,4.626457354976661,4.619361531552066,4.626480611075218,0.9895675795069346,REUSED_MATCHED_REFERENCE,0.02
brusselator,646,tube,x,1861968229940057905/144115188075855872,0.5056870178059626,0.512283705181962,0.5056781640549286,0.5122879203294939,0.9980227866167799,REUSED_MATCHED_REFERENCE,0.02
brusselator,646,tube,y,1861968229940057905/144115188075855872,4.612701064669535,4.626565469358232,4.612686678113317,4.626552098880456,0.999926718528072,REUSED_MATCHED_REFERENCE,0.02
brusselator,647,endpoint,x,3729701067403150045/288230376151711744,0.5121593741380673,0.5156246039254759,0.5121502908728232,0.5156290029318836,0.9961243496377455,REUSED_MATCHED_REFERENCE,0.02
brusselator,647,endpoint,y,3729701067403150045/288230376151711744,4.625941287919993,4.632842981729469,4.6258909145458595,4.632865731836146,0.9895160722114046,REUSED_MATCHED_REFERENCE,0.02
brusselator,647,tube,x,3729701067403150045/288230376151711744,0.5088612843734884,0.5156246039254753,0.5088522011082435,0.5156290029318836,0.998010525908211,REUSED_MATCHED_REFERENCE,0.02
brusselator,647,tube,y,3729701067403150045/288230376151711744,4.619373882745665,4.632953195099033,4.619359826233027,4.6329396283442135,0.9999639348338674,REUSED_MATCHED_REFERENCE,0.02
brusselator,648,endpoint,x,466933209365773035/36028797018963968,0.5154972566377668,0.5190516293605089,0.5154879333148419,0.5190562237896895,0.9960996022594913,REUSED_MATCHED_REFERENCE,0.02
brusselator,648,endpoint,y,466933209365773035/36028797018963968,4.632321216976052,4.639075108414185,4.632271527238389,4.639097308267501,0.9894679318495265,REUSED_MATCHED_REFERENCE,0.02
brusselator,648,tube,x,466933209365773035/36028797018963968,0.512114809874958,0.5190516293605081,0.5121054865520326,0.5190562237896895,0.9979976581431529,REUSED_MATCHED_REFERENCE,0.02
brusselator,648,tube,y,466933209365773035/36028797018963968,4.625902777464297,4.639187512779765,4.62588906213978,4.639173738219935,1.0000044589203605,REUSED_MATCHED_REFERENCE,0.02
brusselator,649,endpoint,x,3741230282449218515/288230376151711744,0.5189211464311668,0.522568405416162,0.518911571668256,0.5225732079745785,0.9960735255703747,REUSED_MATCHED_REFERENCE,0.02
brusselator,649,endpoint,y,3741230282449218515/288230376151711744,4.638547206572393,4.6451483732675145,4.638498247645497,4.645169974960225,0.9894239353203022,REUSED_MATCHED_REFERENCE,0.02
brusselator,649,tube,x,3741230282449218515/288230376151711744,0.5154508212108094,0.5225684054161613,0.5154412464478979,0.5225732079745785,0.9979840999877929,REUSED_MATCHED_REFERENCE,0.02
brusselator,649,tube,y,3741230282449218515/288230376151711744,4.632282878575945,4.645263066258815,4.632269516069317,4.645249071531259,1.0000487089815908,REUSED_MATCHED_REFERENCE,0.02
brusselator,650,endpoint,x,1873497444986126375/144115188075855872,0.5224346607807503,0.5261787697952514,0.5224248226781277,0.5261837939368366,0.9960461937096922,REUSED_MATCHED_REFERENCE,0.02
brusselator,650,endpoint,y,1873497444986126375/144115188075855872,4.644613860436843,4.651057128619249,4.644565683111601,4.65107808034871,0.989385006444495,REUSED_MATCHED_REFERENCE,0.02
brusselator,650,tube,x,1873497444986126375/144115188075855872,0.5188727296632206,0.5261787697952507,0.5188628915605974,0.5261837939368366,0.9979698890320763,REUSED_MATCHED_REFERENCE,0.02
brusselator,650,tube,y,1873497444986126375/144115188075855872,4.638509062197567,4.6511742139221495,4.6384960646777635,4.651159985846171,1.0000971702333594,REUSED_MATCHED_REFERENCE,0.02
brusselator,651,endpoint,x,3752759497495286985/288230376151711744,0.526041630064982,0.5298867890893296,0.5260315159695843,0.5298920492798193,0.9960175746064641,REUSED_MATCHED_REFERENCE,0.02
brusselator,651,endpoint,y,3752759497495286985/288230376151711744,4.650515492767996,4.656795420858265,4.650468151725287,4.656815666618006,0.9893522420046146,REUSED_MATCHED_REFERENCE,0.02
brusselator,651,tube,x,3752759497495286985/288230376151711744,0.5223841446126668,0.5298867890893287,0.5223740305172686,0.5298920492798193,0.9979550083107935,REUSED_MATCHED_REFERENCE,0.02
brusselator,651,tube,y,3752759497495286985/288230376151711744,4.6445759337297785,4.656915008687283,4.64456331388113,4.656900533252964,1.0001504055017651,REUSED_MATCHED_REFERENCE,0.02
brusselator,652,endpoint,x,939631026254580305/72057594037927936,0.5297461129109915,0.5336967763366217,0.5297357092594431,0.5337022882421317,0.9959875859959332,REUSED_MATCHED_REFERENCE,0.02
brusselator,652,endpoint,y,939631026254580305/72057594037927936,4.656246107753921,4.662356969060997,4.656199661806397,4.662376448359969,0.9893269346570662,REUSED_MATCHED_REFERENCE,0.02
brusselator,652,tube,x,939631026254580305/72057594037927936,0.5259888873435846,0.5336967763366209,0.5259784836920357,0.5337022882421317,0.997939414836758,REUSED_MATCHED_REFERENCE,0.02
brusselator,652,tube,y,939631026254580305/72057594037927936,4.650477808970377,4.662479176677382,4.650465579906291,4.662464439092916,1.000209063240167,REUSED_MATCHED_REFERENCE,0.02
brusselator,653,endpoint,x,3764288712541355455/288230376151711744,0.5335524141196967,0.5376133087147352,0.53354170655064,0.537619089125307,0.995956234342387,REUSED_MATCHED_REFERENCE,0.02
brusselator,653,endpoint,y,3764288712541355455/288230376151711744,4.661799379591855,4.667735139509163,4.66175389259362,4.66775378641792,0.9893108263462133,REUSED_MATCHED_REFERENCE,0.02
brusselator,653,tube,x,3764288712541355455/288230376151711744,0.5296910075057164,0.5376133087147347,0.529680299936659,0.537619089125307,0.9979231115428412,REUSED_MATCHED_REFERENCE,0.02
brusselator,653,tube,y,3764288712541355455/288230376151711744,4.656208695914241,4.667860091763836,4.656196871698342,4.667845075890257,1.0002740042694045,REUSED_MATCHED_REFERENCE,0.02
brusselator,654,endpoint,x,1885026660032194845/144115188075855872,0.5374651022154784,0.5416412488430354,0.5374540753662994,0.5416473159157503,0.9959234578383296,REUSED_MATCHED_REFERENCE,0.02
brusselator,654,endpoint,y,1885026660032194845/144115188075855872,4.667168626671407,4.672922922065599,4.667124167871416,4.672940664813807,0.9893060120522369,REUSED_MATCHED_REFERENCE,0.02
brusselator,654,tube,x,1885026660032194845/144115188075855872,0.5334947990470894,0.541641248843035,0.5334837721979097,0.5416473159157503,0.9979060659823837,REUSED_MATCHED_REFERENCE,0.02
brusselator,654,tube,y,1885026660032194845/144115188075855872,4.661762270852008,4.673050752015389,4.661750866441069,4.673035440374545,1.0003462452307006,REUSED_MATCHED_REFERENCE,0.02
brusselator,655,endpoint,x,3775817927587423925/288230376151711744,0.5414890303683704,0.5457857662879291,0.5414776678844174,0.5457921395827771,0.9958892351043409,REUSED_MATCHED_REFERENCE,0.02
brusselator,655,endpoint,y,3775817927587423925/288230376151711744,4.672346784920633,4.677912902999648,4.672303429167464,4.677929663716041,0.9893149727329464,REUSED_MATCHED_REFERENCE,0.02
brusselator,655,tube,x,3775817927587423925/288230376151711744,0.5374048193482908,0.5457857662879283,0.5373934568643373,0.5457921395827771,0.9978882666012227,REUSED_MATCHED_REFERENCE,0.02
brusselator,655,tube,y,3775817927587423925/288230376151711744,4.6671318538439,4.678043752589774,4.6671208848419585,4.678028126554938,1.000426967057023,REUSED_MATCHED_REFERENCE,0.02
brusselator,656,endpoint,x,236348908444403635/18014398509481984,0.545629358189322,0.5500523621554695,0.5456176426105991,0.550059062799134,0.9958535284648484,REUSED_MATCHED_REFERENCE,0.02
brusselator,656,endpoint,y,236348908444403635/18014398509481984,4.677326381321491,4.682697232795325,4.6772842100905345,4.68271292641949,0.9893409690957347,REUSED_MATCHED_REFERENCE,0.02
brusselator,656,tube,x,236348908444403635/18014398509481984,0.5414259090378238,0.5500523621554687,0.5414141934591005,0.550059062799134,0.9978696933794772,REUSED_MATCHED_REFERENCE,0.02
brusselator,656,tube,y,236348908444403635/18014398509481984,4.672310384616602,4.6828312535840775,4.67229986777456,4.682815292819328,1.000517708289014,REUSED_MATCHED_REFERENCE,0.02
brusselator,657,endpoint,x,3787347142633492395/288230376151711744,0.5498915760223698,0.5544468955782036,0.5498794887733297,0.5544539463299257,0.9958163343903678,REUSED_MATCHED_REFERENCE,0.02
brusselator,657,endpoint,y,3787347142633492395/288230376151711744,4.682099501604409,4.687267594418349,4.682058602836167,4.68728212878889,0.9893877929802757,REUSED_MATCHED_REFERENCE,0.02
brusselator,657,tube,x,3787347142633492395/288230376151711744,0.5455632140887732,0.5544468955782029,0.5455511268397323,0.5544539463299257,0.9978503438394121,REUSED_MATCHED_REFERENCE,0.02
brusselator,657,tube,y,3787347142633492395/288230376151711744,4.677290392851341,4.687404948389213,4.67728034533154,4.687388631511313,1.000620219687871,REUSED_MATCHED_REFERENCE,0.02
brusselator,658,endpoint,x,1896555875078263315/144115188075855872,0.5542815312652212,0.5589756130497376,0.5542690522825999,0.5589830387417383,0.995777528256729,REUSED_MATCHED_REFERENCE,0.02
brusselator,658,endpoint,y,1896555875078263315/144115188075855872,4.686657755702393,4.691615167884062,4.686618224799212,4.691628442666934,0.9894604012345752,REUSED_MATCHED_REFERENCE,0.02
brusselator,658,tube,x,1896555875078263315/144115188075855872,0.5498222097014126,0.558975613049737,0.5498097307187906,0.5589830387417383,0.9978301530294716,REUSED_MATCHED_REFERENCE,0.02
brusselator,658,tube,y,1896555875078263315/144115188075855872,4.682063966518802,4.691756028346712,4.682054406256955,4.691739332488251,1.0007367734604906,REUSED_MATCHED_REFERENCE,0.02
brusselator,659,endpoint,x,3798876357679560865/288230376151711744,0.5588054576813993,0.563645180190518,0.5587925654993661,0.5636530077102087,0.9957370747711634,REUSED_MATCHED_REFERENCE,0.02
brusselator,659,endpoint,y,3798876357679560865/288230376151711744,4.6909922427601405,4.6957305886812355,4.690954183352144,4.69574249451478,0.9895651640328993,REUSED_MATCHED_REFERENCE,0.02
brusselator,659,tube,x,3798876357679560865/288230376151711744,0.5542087269042636,0.5636451801905173,0.5541958347222298,0.5636530077102087,0.997809101964037,REUSED_MATCHED_REFERENCE,0.02
brusselator,659,tube,y,3798876357679560865/288230376151711744,4.686622720118611,4.695875141236421,4.686613665850179,4.695858041930403,1.0008702629054163,REUSED_MATCHED_REFERENCE,0.02
brusselator,660,endpoint,x,951160241300648775/72057594037927936,0.5634700072528912,0.5684627170115895,0.5634566788266021,0.5684709755635693,0.9956949140824113,REUSED_MATCHED_REFERENCE,0.02
brusselator,660,endpoint,y,951160241300648775/72057594037927936,4.69509351153081,4.699603903488947,4.695057036867394,4.699614320489976,0.9897106108971679,REUSED_MATCHED_REFERENCE,0.02
brusselator,660,tube,x,951160241300648775/72057594037927936,0.558728981387548,0.5684627170115887,0.5587156529612582,0.5684709755635693,0.9977871589541019,REUSED_MATCHED_REFERENCE,0.02
brusselator,660,tube,y,951160241300648775/72057594037927936,4.690957758650418,4.699752347078655,4.690949230457907,4.699734817608777,1.0010245504610635,REUSED_MATCHED_REFERENCE,0.02
brusselator,661,endpoint,x,3810405572725629335/288230376151711744,0.568282285256662,0.5734358366897956,0.5682684958109294,0.5734445580373653,0.9956509809354072,REUSED_MATCHED_REFERENCE,0.02
brusselator,661,endpoint,y,3810405572725629335/288230376151711744,4.6989515123313055,4.703224526191261,4.698916745609168,4.703233323516312,0.9899077352184266,REUSED_MATCHED_REFERENCE,0.02
brusselator,661,tube,x,3810405572725629335/288230376151711744,0.5633896052123667,0.5734358366897949,0.5633758157666333,0.5734445580373653,0.9977642894516064,REUSED_MATCHED_REFERENCE,0.02
brusselator,661,tube,y,3810405572725629335/288230376151711744,4.695059633485702,4.703377074303868,4.695051652223234,4.70335908616925,1.001204568367875,REUSED_MATCHED_REFERENCE,0.02
brusselator,662,endpoint,x,1908085090124331785/144115188075855872,0.5732498888888811,0.5785726883184427,0.5732356117440088,0.5785819070634312,0.9956052016476965,REUSED_MATCHED_REFERENCE,0.02
brusselator,662,endpoint,y,1908085090124331785/144115188075855872,4.702555545189684,4.706581188625779,4.702522618992294,4.7065882249029345,0.9901705980796298,REUSED_MATCHED_REFERENCE,0.02
brusselator,662,tube,x,1908085090124331785/144115188075855872,0.5681976816735643,0.578572688318442,0.5681834045286914,0.5785819070634312,0.9977404544756746,REUSED_MATCHED_REFERENCE,0.02
brusselator,662,tube,y,1908085090124331785/144115188075855872,4.698918294887136,4.7067380706660344,4.698910880639158,4.706719594993778,1.0014165487141073,REUSED_MATCHED_REFERENCE,0.02
brusselator,663,endpoint,x,3821934787771697805/288230376151711744,0.578380949621375,0.5838820043428142,0.5783661560265759,0.5838917581749293,0.9955575109725423,REUSED_MATCHED_REFERENCE,0.02
brusselator,663,endpoint,y,3821934787771697805/288230376151711744,4.705894208649338,4.709661880548361,4.705863269081038,4.709666999601397,0.9905201955969145,REUSED_MATCHED_REFERENCE,0.02
brusselator,663,tube,x,3821934787771697805/288230376151711744,0.5731607834481282,0.5838820043428135,0.5731459898533284,0.5838917581749293,0.99771561919251,REUSED_MATCHED_REFERENCE,0.02
brusselator,663,tube,y,3821934787771697805/288230376151711744,4.702523045768511,4.709823343314658,4.702516220836414,4.709804347731487,1.0016699285356632,REUSED_MATCHED_REFERENCE,0.02
brusselator,664,endpoint,x,478462424411841505/36028797018963968,0.5836841812439084,0.589373151740308,0.583668840178102,0.5893834818468291,0.9955078246694069,REUSED_MATCHED_REFERENCE,0.02
brusselator,664,endpoint,y,478462424411841505/36028797018963968,4.708955364808771,4.712453762043554,4.708926572584211,4.712456791663291,0.990985872665531,REUSED_MATCHED_REFERENCE,0.02
brusselator,664,tube,x,478462424411841505/36028797018963968,0.5782870159221385,0.5893731517403071,0.5782716748563316,0.5893834818468291,0.9976897391800603,REUSED_MATCHED_REFERENCE,0.02
brusselator,664,tube,y,478462424411841505/36028797018963968,4.705862512577535,4.712620071021631,4.7058563009273335,4.712600520067007,1.001977887157234,REUSED_MATCHED_REFERENCE,0.02
brusselator,665,endpoint,x,3833464002817766275/288230376151711744,0.5891689308133823,0.5950561908805411,0.5891530088043044,0.5950671422393562,0.9954560768389661,REUSED_MATCHED_REFERENCE,0.02
brusselator,665,endpoint,y,3833464002817766275/288230376151711744,4.7117260397520315,4.7149431278692875,4.711699579704863,4.7149438700582715,0.9916153509121304,REUSED_MATCHED_REFERENCE,0.02
brusselator,665,tube,x,3833464002817766275/288230376151711744,0.583585062847571,0.5950561908805406,0.5835691408384922,0.5950671422393562,0.9976627792120212,REUSED_MATCHED_REFERENCE,0.02
brusselator,665,tube,y,3833464002817766275/288230376151711744,4.70892455143229,4.715114569156395,4.708918986839095,4.7150944158914045,1.002362373799694,REUSED_MATCHED_REFERENCE,0.02
brusselator,666,endpoint,x,1919614305170400255/144115188075855872,0.5948452351049465,0.6009419407838746,0.5948286997352414,0.6009535588373941,0.9954034170003043,REUSED_MATCHED_REFERENCE,0.02
brusselator,666,endpoint,y,1919614305170400255/144115188075855872,4.714192140161253,4.7171155414064385,4.714168440208642,4.717113553231067,0.992627862810738,REUSED_MATCHED_REFERENCE,0.02
brusselator,666,tube,x,1919614305170400255/144115188075855872,0.5890642368433815,0.600941940783874,0.5890477014736757,0.6009535588373941,0.9976353300425281,REUSED_MATCHED_REFERENCE,0.02
brusselator,666,tube,y,1919614305170400255/144115188075855872,4.711695968552535,4.717292426923109,4.711691315086914,4.717271392260745,1.0029356577396276,REUSED_MATCHED_REFERENCE,0.02
